Tanggal,Kurs Jual
10/17/2022 ,10486.07
10/14/2022 ,10511.33
10/13/2022 ,10569.79
12/10/2022,10603.58
11/10/2022,10573.17
10/10/2022,10576.54
7/10/2022,10560.77
6/10/2022,10573.23
5/10/2022,10614.2
4/10/2022,10596.71
3/10/2022,10610.04
9/30/2022 ,10588.93
9/29/2022 ,10594.94
9/28/2022 ,10554.93
9/27/2022 ,10565
9/26/2022 ,10617.04
9/23/2022 ,10365.81
9/22/2022 ,10494.65
9/21/2022 ,10486.99
9/20/2022 ,10491.22
9/19/2022 ,10466.15
9/16/2022 ,10428.68
9/15/2022 ,10467.34
9/14/2022 ,10501.55
9/13/2022 ,10442.68
12/9/2022,10479.16
9/9/2022,10415.46
8/9/2022,10423.6
7/9/2022,10567.55
6/9/2022,10667.76
5/9/2022,10676.24
2/9/2022,10738.28
1/9/2022,10770.81
