Time Period,Kurs Jual
458,10868.11
459,10877.77
460,10900.59
461,10792.23
462,10685.01
463,10675.11
464,10667.73
465,10740.96
466,10773.85
467,10845.26
468,10669.29
469,10644.28
470,10691.29
471,10688.59
472,10687.68
473,10733.11
474,10693.93
475,10665.85
476,10625.88
477,10581.69
478,10635.09
479,10575.83
480,10582.29
481,10591.04
482,10593.17
483,10568.57
484,10589.17
485,10547.9
486,10529.07
487,10491.79
488,10474.82
489,10462.62
