"","Week","Average_Listeners"
"214","2022-11-13",26098427
"215","2022-11-20",30979557.5
"216","2022-11-27",39237594
"217","2022-12-04",46454416.5
"218","2022-12-11",54187994
"219","2022-12-18",59432911
"220","2022-12-25",73974251
"221","2023-01-01",71003068
"222","2023-01-08",64681897.5
"223","2023-01-15",54654120
"224","2023-01-22",25896762.5
"225","2023-01-29",21403523
"226","2023-02-05",21165917
"227","2023-02-12",22070482
"228","2023-02-19",23123480.5
"229","2023-02-26",24015128
"230","2023-03-05",24427540
"231","2023-03-12",24291712
"232","2023-03-19",23994347
"233","2023-03-26",23418901.5
"234","2023-04-02",23259078.5
"235","2023-04-09",23128360
"236","2023-04-16",23054005.5
"237","2023-04-23",23100282.5
"238","2023-04-30",23200950.5
"239","2023-05-07",23481472
"240","2023-05-14",23510397
"241","2023-05-21",23742261
"242","2023-05-28",23925663.5
"243","2023-06-04",24092544
"244","2023-06-11",24245289
"245","2023-06-18",24158895.5
"246","2023-06-25",24114314
"247","2023-07-02",24138464.5
"248","2023-07-09",24068478.5
"249","2023-07-16",23959340
"250","2023-07-23",24051215
"251","2023-07-30",24107357.5
"252","2023-08-06",24176131.5
"253","2023-08-13",24337973
"254","2023-08-20",24366866
"255","2023-08-27",24376082
"256","2023-09-03",24663135.3333333
"257","2023-09-10",25172603
"258","2023-09-17",25366036.5
"259","2023-09-24",25636335.5
"260","2023-10-01",25738607
"261","2023-10-08",25810198.5
