"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"11/12/2022","74,45","71,78","77,76","70,25","","4,13%"
"04/12/2022","71,50","80,06","82,71","70,11","","-10,96%"
"27/11/2022","80,30","76,08","83,33","73,61","786,90K","5,27%"
"20/11/2022","76,28","80,30","82,36","75,08","937,19K","-4,75%"
"13/11/2022","80,08","89,02","89,84","77,24","1,11M","-9,98%"
"06/11/2022","88,96","91,00","93,74","84,70","1,70M","-3,94%"
"30/10/2022","92,61","88,39","92,87","85,30","1,43M","5,36%"
"23/10/2022","87,90","85,24","89,79","82,63","1,33M","3,35%"
"16/10/2022","85,05","85,59","88,17","82,09","631,62K","-0,65%"
"09/10/2022","85,61","93,48","93,64","85,20","1,49M","-7,59%"
"02/10/2022","92,64","81,02","93,31","80,87","1,58M","16,54%"
"25/09/2022","79,49","79,23","82,94","76,25","1,43M","0,95%"
"18/09/2022","78,74","85,21","86,68","78,04","1,06M","-7,48%"
"11/09/2022","85,11","86,25","90,19","84,27","1,28M","-1,94%"
"04/09/2022","86,79","86,84","90,39","81,20","1,45M","-0,09%"
"28/08/2022","86,87","92,96","97,66","85,98","1,60M","-6,65%"
"21/08/2022","93,06","89,65","95,76","86,60","1,20M","2,52%"
"14/08/2022","90,77","91,94","92,10","85,73","949,90K","-1,43%"
"07/08/2022","92,09","88,46","95,05","87,22","1,68M","3,46%"
"31/07/2022","89,01","98,46","98,65","87,01","1,77M","-9,74%"
"24/07/2022","98,62","95,10","101,88","93,01","1,58M","4,14%"
"17/07/2022","94,70","97,27","104,46","94,23","803,26K","-2,96%"
"10/07/2022","97,59","104,79","105,05","90,56","1,72M","-6,87%"
"03/07/2022","104,79","108,80","111,45","95,10","1,75M","-3,36%"
"26/06/2022","108,43","107,22","114,05","104,56","1,58M","0,75%"
"19/06/2022","107,62","110,58","112,47","101,53","1,13M","-1,77%"
"12/06/2022","109,56","120,19","123,68","108,25","1,31M","-9,21%"
"05/06/2022","120,67","120,82","123,18","117,14","1,58M","1,51%"
"29/05/2022","118,87","114,96","120,46","111,20","1,30M","3,30%"
"22/05/2022","115,07","110,56","115,30","108,61","1,08M","1,63%"
"15/05/2022","113,23","110,98","115,56","105,13","733,94K","2,48%"
"08/05/2022","110,49","110,43","110,64","98,20","1,71M","0,66%"
"01/05/2022","109,77","104,00","111,37","100,28","1,36M","4,85%"
"24/04/2022","104,69","101,38","107,99","95,28","1,57M","2,57%"
"17/04/2022","102,07","107,03","109,81","100,70","683,73K","-4,56%"
"10/04/2022","106,95","98,40","107,64","92,93","1,20M","8,84%"
"03/04/2022","98,26","98,95","105,59","93,81","1,61M","-1,02%"
"27/03/2022","99,27","112,92","112,93","97,78","1,82M","-12,84%"
"20/03/2022","113,90","105,13","116,64","104,08","1,02M","8,79%"
"13/03/2022","104,70","109,42","109,72","93,53","1,32M","-4,23%"
"06/03/2022","109,33","121,33","130,50","103,63","2,56M","-5,49%"
"27/02/2022","115,68","94,99","116,57","94,43","2,93M","26,30%"
"20/02/2022","91,59","91,75","100,54","90,06","1,88M","0,57%"
"13/02/2022","91,07","93,91","95,82","89,03","1,67M","-2,18%"
"06/02/2022","93,10","91,82","94,66","88,41","2,46M","0,86%"
"30/01/2022","92,31","87,45","93,17","86,34","2,07M","6,32%"
"23/01/2022","86,82","84,91","88,84","81,90","2,34M","1,97%"
"16/01/2022","85,14","84,32","87,91","82,78","816,28K","1,57%"
"09/01/2022","83,82","78,88","84,45","77,83","2,02M","6,24%"
"02/01/2022","78,90","75,69","80,47","74,27","1,98M","4,91%"
"26/12/2021","75,21","73,38","77,44","72,57","1,27M","1,92%"
"19/12/2021","73,79","70,07","73,95","66,04","972,44K","4,13%"
"12/12/2021","70,86","72,04","73,00","69,39","1,28M","-1,13%"
"05/12/2021","71,67","67,02","73,34","66,72","2,15M","8,16%"
"28/11/2021","66,26","69,23","72,93","62,43","3,12M","-2,77%"
"21/11/2021","68,15","75,75","79,23","67,40","2,15M","-10,45%"
"14/11/2021","76,10","80,66","81,81","75,37","958,31K","-5,81%"
"07/11/2021","80,79","81,13","84,97","79,78","2,32M","-0,59%"
"31/10/2021","81,27","83,36","84,88","78,25","2,62M","-2,75%"
"24/10/2021","83,57","83,98","85,41","80,58","2,57M","-0,23%"
"17/10/2021","83,76","82,60","84,25","80,79","1,28M","1,80%"
"10/10/2021","82,28","79,59","82,66","79,42","2,42M","3,69%"
"03/10/2021","79,35","75,90","80,11","74,96","2,57M","4,57%"
"26/09/2021","75,88","74,19","76,67","73,14","2,29M","2,57%"
"19/09/2021","73,98","71,92","74,27","69,67","1,25M","2,79%"
"12/09/2021","71,97","69,74","73,14","69,51","1,64M","3,23%"
"05/09/2021","69,72","69,11","69,96","67,56","1,84M","0,62%"
"29/08/2021","69,29","69,30","70,61","67,12","1,80M","0,80%"
"22/08/2021","68,74","61,96","69,05","61,74","1,76M","10,30%"
"15/08/2021","62,32","67,71","68,27","62,11","804,21K","-8,94%"
"08/08/2021","68,44","67,88","69,62","65,15","2,19M","0,23%"
"01/08/2021","68,28","73,91","73,95","67,61","2,49M","-7,67%"
"25/07/2021","73,95","72,18","74,23","70,56","1,65M","2,61%"
"18/07/2021","72,07","71,49","72,21","65,21","1,33M","0,36%"
"11/07/2021","71,81","74,74","75,52","70,41","1,87M","-3,69%"
"04/07/2021","74,56","75,35","76,98","70,76","2,27M","-0,80%"
"27/06/2021","75,16","73,99","76,22","71,97","2,05M","1,50%"
"20/06/2021","74,05","71,52","74,25","71,15","1,28M","3,36%"
"13/06/2021","71,64","70,65","72,99","69,77","1,60M","1,03%"
"06/06/2021","70,91","69,52","71,24","68,47","2,27M","1,85%"
"30/05/2021","69,62","66,68","69,76","66,41","1,58M","4,98%"
"23/05/2021","66,32","63,87","67,52","63,63","2,07M","4,31%"
"16/05/2021","63,58","65,50","67,01","61,56","1,10M","-2,74%"
"09/05/2021","65,37","65,57","66,63","63,09","2,40M","0,72%"
"02/05/2021","64,90","63,64","66,76","62,91","1,94M","2,08%"
"25/04/2021","63,58","62,06","65,47","60,66","1,90M","2,32%"
"18/04/2021","62,14","62,98","64,25","60,61","1,23M","-1,57%"
"11/04/2021","63,13","59,35","63,88","58,73","1,51M","6,42%"
"04/04/2021","59,32","61,50","61,50","57,63","2,14M","-3,47%"
"28/03/2021","61,45","60,93","62,27","58,85","1,86M","0,79%"
"21/03/2021","60,97","61,55","61,90","57,25","2,36M","-0,73%"
"14/03/2021","61,42","65,56","66,40","58,20","1,18M","-6,39%"
"07/03/2021","65,61","66,68","67,98","63,13","2,35M","-0,73%"
"28/02/2021","66,09","61,95","66,42","59,24","2,65M","7,46%"
"21/02/2021","61,50","58,88","63,81","58,82","2,08M","3,81%"
"14/02/2021","59,24","59,98","62,26","58,59","1,17M","-0,39%"
"07/02/2021","59,47","57,06","59,82","57,00","2,23M","4,61%"
"31/01/2021","56,85","51,99","57,29","51,64","2,11M","8,91%"
"24/01/2021","52,20","52,17","53,58","51,82","1,93M","-0,13%"
"17/01/2021","52,27","52,00","53,79","51,44","953,69K","-0,17%"
"10/01/2021","52,36","52,58","53,93","51,50","1,78M","0,23%"
"03/01/2021","52,24","48,40","52,75","47,18","2,55M","7,67%"
"27/12/2020","48,52","48,23","48,96","47,50","901,09K","0,60%"
"20/12/2020","48,23","48,54","48,62","46,16","835,39K","-1,77%"
"13/12/2020","49,10","46,73","49,28","45,69","1,17M","5,43%"
"06/12/2020","46,57","46,15","47,74","44,95","1,93M","0,67%"
"29/11/2020","46,26","45,34","46,68","43,92","1,74M","1,60%"
"22/11/2020","45,53","42,46","46,26","42,29","1,50M","8,02%"
"15/11/2020","42,15","40,17","42,46","40,15","847,40K","5,03%"
"08/11/2020","40,13","37,34","43,06","37,16","2,26M","8,05%"
"01/11/2020","37,14","35,24","39,35","33,64","2,05M","3,77%"
"25/10/2020","35,79","39,69","39,83","34,92","2,15M","-10,19%"
"18/10/2020","39,85","40,69","41,70","39,57","1,04M","-2,52%"
"11/10/2020","40,88","40,40","41,29","39,04","1,37M","0,69%"
"04/10/2020","40,60","37,00","41,47","37,00","1,95M","9,58%"
"27/09/2020","37,05","40,07","40,80","36,63","1,78M","-7,95%"
"20/09/2020","40,25","40,98","41,27","38,66","907,18K","-2,09%"
"13/09/2020","41,11","37,32","41,49","36,82","1,42M","10,13%"
"06/09/2020","37,33","39,48","39,59","36,13","1,91M","-6,14%"
"30/08/2020","39,77","42,91","43,57","39,35","1,81M","-7,45%"
"23/08/2020","42,97","42,48","43,78","42,23","1,48M","1,49%"
"16/08/2020","42,34","42,24","43,03","41,46","774,15K","0,79%"
"09/08/2020","42,01","41,50","42,94","41,17","1,84M","1,92%"
"02/08/2020","41,22","40,39","43,52","39,58","2,04M","2,36%"
"26/07/2020","40,27","41,26","41,93","38,72","1,76M","-2,47%"
"19/07/2020","41,29","40,64","42,40","39,83","1,16M","1,72%"
"12/07/2020","40,59","40,35","41,26","39,07","1,44M","0,10%"
"05/07/2020","40,55","40,31","41,08","38,54","1,68M","-0,25%"
"28/06/2020","40,65","37,96","40,74","37,50","1,47M","5,61%"
"21/06/2020","38,49","39,18","41,63","37,08","1,71M","-3,17%"
"14/06/2020","39,75","36,03","40,49","34,36","1,17M","9,62%"
"07/06/2020","36,26","39,41","40,44","34,48","2,12M","-8,32%"
"31/05/2020","39,55","35,21","39,68","34,27","1,93M","11,44%"
"24/05/2020","35,49","33,30","35,77","31,14","1,77M","6,74%"
"17/05/2020","33,25","29,53","34,66","29,53","1,33M","12,98%"
"10/05/2020","29,43","24,49","29,92","23,67","811,31K","18,96%"
"03/05/2020","24,74","19,11","26,74","18,05","1,60M","25,08%"
"26/04/2020","19,78","16,84","20,48","10,07","3,02M","16,77%"
"19/04/2020","16,94","17,73","18,26","-40,32","2,94M","-7,28%"
"12/04/2020","18,27","24,60","24,74","17,31","2,70M","-19,73%"
"05/04/2020","22,76","26,09","28,36","22,57","3,50M","-19,69%"
"29/03/2020","28,34","20,93","29,13","19,27","4,23M","31,75%"
"22/03/2020","21,51","22,52","25,24","20,80","3,37M","-4,10%"
"15/03/2020","22,43","33,75","33,75","19,46","1,72M","-29,31%"
"08/03/2020","31,73","32,87","36,35","27,34","5,48M","-23,13%"
"01/03/2020","41,28","43,70","48,66","41,05","4,69M","-7,77%"
"23/02/2020","44,76","52,60","52,64","43,85","4,53M","-16,15%"
"16/02/2020","53,38","52,23","54,50","50,88","1,07M","2,56%"
"09/02/2020","52,05","50,12","52,34","49,42","3,59M","3,44%"
"02/02/2020","50,32","51,01","52,20","49,31","4,14M","-2,40%"
"26/01/2020","51,56","53,70","54,37","50,97","3,52M","-4,85%"
"19/01/2020","54,19","59,17","59,73","53,85","1,96M","-7,43%"
"12/01/2020","58,54","59,04","59,27","57,36","1,83M","-0,85%"
"05/01/2020","59,04","63,71","65,65","58,66","3,86M","-6,36%"
"29/12/2019","63,05","61,71","64,09","60,63","2,29M","2,15%"
"22/12/2019","61,72","60,41","61,97","60,10","1,14M","2,12%"
"15/12/2019","60,44","59,87","61,47","59,71","1,23M","0,62%"
"08/12/2019","60,07","59,11","60,48","58,11","2,71M","1,47%"
"01/12/2019","59,20","55,47","59,85","55,35","3,27M","7,30%"
"24/11/2019","55,17","57,92","58,68","55,02","2,04M","-4,50%"
"17/11/2019","57,77","57,88","58,74","54,76","1,41M","0,09%"
"10/11/2019","57,72","57,40","57,97","56,20","2,53M","0,84%"
"03/11/2019","57,24","56,41","57,88","55,76","2,95M","1,85%"
"27/10/2019","56,20","56,65","56,92","53,71","2,83M","-0,81%"
"20/10/2019","56,66","53,71","56,74","52,71","1,68M","5,36%"
"13/10/2019","53,78","54,90","54,90","52,39","2,02M","-1,68%"
"06/10/2019","54,70","52,69","54,93","51,38","3,20M","3,58%"
"29/09/2019","52,81","56,54","56,57","50,99","2,90M","-5,54%"
"22/09/2019","55,91","59,25","59,39","54,75","2,99M","-3,75%"
"15/09/2019","58,09","61,48","63,38","57,67","2,77M","5,91%"
"08/09/2019","54,85","56,80","58,76","54,00","3,71M","-2,95%"
"01/09/2019","56,52","55,00","57,76","52,84","3,08M","2,58%"
"25/08/2019","55,10","53,25","56,89","52,96","3,29M","1,72%"
"18/08/2019","54,17","54,96","57,13","53,24","2,29M","-1,28%"
"11/08/2019","54,87","54,32","57,47","53,54","2,81M","0,68%"
"04/08/2019","54,50","55,38","55,61","50,52","4,02M","-2,08%"
"28/07/2019","55,66","56,20","58,82","53,59","3,32M","-0,96%"
"21/07/2019","56,20","56,22","57,64","55,33","2,33M","1,02%"
"14/07/2019","55,63","60,25","60,92","54,72","2,10M","-7,61%"
"07/07/2019","60,21","57,77","60,94","57,29","2,83M","4,69%"
"30/06/2019","57,51","59,27","60,28","56,04","2,85M","-1,64%"
"23/06/2019","58,47","57,72","59,93","56,75","3,04M","1,81%"
"16/06/2019","57,43","52,50","57,98","51,50","1,41M","9,37%"
"09/06/2019","52,51","54,24","54,84","50,72","3,64M","-2,74%"
"02/06/2019","53,99","53,42","54,63","50,60","4,38M","0,92%"
"26/05/2019","53,50","58,94","59,70","53,05","4,02M","-8,75%"
"19/05/2019","58,63","62,93","63,81","57,33","2,79M","-6,58%"
"12/05/2019","62,76","61,65","63,64","60,64","3,24M","1,78%"
"05/05/2019","61,66","61,43","62,95","60,04","3,96M","-0,45%"
"28/04/2019","61,94","62,95","64,75","60,95","3,64M","-2,15%"
"21/04/2019","63,30","64,00","66,60","62,28","3,01M","-1,09%"
"14/04/2019","64,00","63,76","64,61","62,99","1,49M","0,17%"
"07/04/2019","63,89","63,33","64,79","63,13","3,79M","1,28%"
"31/03/2019","63,08","60,24","63,34","60,13","3,64M","4,89%"
"24/03/2019","60,14","58,98","60,73","58,17","3,54M","1,86%"
"17/03/2019","59,04","58,45","60,39","58,05","1,70M","0,89%"
"10/03/2019","58,52","56,07","58,95","55,96","2,94M","4,37%"
"03/03/2019","56,07","55,83","57,19","54,52","3,10M","0,48%"
"24/02/2019","55,80","57,17","57,88","55,02","3,02M","-2,55%"
"17/02/2019","57,26","55,78","57,81","55,29","1,25M","3,00%"
"10/02/2019","55,59","52,66","55,87","51,23","3,07M","5,44%"
"03/02/2019","52,72","55,32","55,75","51,80","3,21M","-4,60%"
"27/01/2019","55,26","53,56","55,66","51,33","3,45M","2,92%"
"20/01/2019","53,69","53,73","54,24","51,80","2,06M","-0,20%"
"13/01/2019","53,80","51,73","53,92","50,38","2,63M","4,28%"
"06/01/2019","51,59","48,30","53,31","48,11","4,11M","7,57%"
"30/12/2018","47,96","45,22","49,22","44,35","2,93M","5,80%"
"23/12/2018","45,33","45,45","47,00","42,36","2,34M","-0,57%"
"16/12/2018","45,59","51,25","51,87","45,13","1,86M","-10,96%"
"09/12/2018","51,20","52,03","53,27","50,35","3,39M","-2,68%"
"02/12/2018","52,61","52,45","54,55","50,08","4,10M","3,30%"
"25/11/2018","50,93","50,62","52,56","49,41","3,87M","1,01%"
"18/11/2018","50,42","56,72","57,44","50,15","2,77M","-10,70%"
"11/11/2018","56,46","60,70","61,28","54,75","3,16M","-6,20%"
